,yaw,pitch,roll,x,y,z,acc_x,acc_y,acc_z,omega_x,omega_y,omega_z
0,3.141592653589793,0.0,0.0,5.0,0.0,0.0,0.01827113045077283,0.05178891887862145,0.0,0.0,0.0,0.0
1,-3.1403426535895718,-0.0,-0.0,4.999996093750508,0.0062499983723955195,-6.912178484750828e-16,-0.006881496379692211,0.06782432212673788,0.0,0.0,0.0,0.005
2,-3.136592653589793,-0.0,-0.0,4.999937500130208,0.024999895833463535,-8.226383983733765e-18,-0.0017575229606936176,0.05691728513516682,0.0,0.0,0.0,0.01
3,-3.1303426535897994,-0.0,-0.0,4.999683597087083,0.056248813484071056,1.822543851948133e-16,-0.005038965828465363,0.04713393753484414,0.0,0.0,0.0,0.015000000000000003
4,-3.121592653589792,-0.0,-0.0,4.999000033332889,0.09999333346666538,-3.881443777498106e-17,-0.0005570193738873538,0.05113385044748592,0.0,0.0,0.0,0.02
5,-3.110342653589791,-0.0,-0.0,4.997558792425682,0.15622456992663028,-1.6263032587282567e-16,-0.0017720414307600208,0.04560981907914814,0.0,0.0,0.0,0.025
6,-3.0965926535897945,-0.0,-0.0,4.9949383542392125,0.22492407018830127,1.205632815803881e-16,-0.0015722419613843908,0.04686981504417072,0.0,0.0,0.0,0.030000000000000006
7,-3.080342653589798,-0.0,-0.0,4.99062402551277,0.30605854991277354,7.8236028766554e-16,-0.01644863929425785,0.056491614052084534,0.0,0.0,0.0,0.035
8,-3.061592653589798,-0.0,-0.0,4.984008531513097,0.3995734698458642,9.71445146547012e-16,-0.005614335156397483,0.04546353853405249,0.0,0.0,0.0,0.04
9,-3.040342653589795,-0.0,-0.0,4.974392980964061,0.5053854676734227,3.712308238590367e-16,-0.02654956672827346,0.05671326340620934,0.0,0.0,0.0,0.045
10,-3.0165926535897953,-0.0,-0.0,4.960988336146645,0.623373666926139,5.828670879282072e-16,-0.008687656707392548,0.049766096642609794,0.0,0.0,0.0,0.05
11,-2.990342653589792,-0.0,-0.0,4.942917539208958,0.7533698962531394,-1.6653345369377348e-16,-0.011951200755155614,0.05313210557107941,0.0,0.0,0.0,0.05500000000000001
12,-2.961592653589793,-0.0,-0.0,4.919218463940608,0.8951478671291209,-6.938893903907228e-17,-0.03665990979070325,0.05187225293319854,0.0,0.0,0.0,0.06000000000000001
13,-2.930342653589793,-0.0,-0.0,4.88884787915323,1.0484113765592988,-4.163336342344337e-17,-0.033296248578765224,0.04809519000630377,0.0,0.0,0.0,0.065
14,-2.896592653589793,-0.0,-0.0,4.850686624863177,1.2127816239428604,1.6653345369377348e-16,-0.02014824271181574,0.04302896087738953,0.0,0.0,0.0,0.07
15,-2.860342653589792,-0.0,-0.0,4.80354621507781,1.387783758231681,-7.494005416219807e-16,-0.026891871179835825,0.034017778198369555,0.0,0.0,0.0,0.075
16,-2.8215926535897933,-0.0,-0.0,4.746177090412204,1.572832803080589,1.942890293094024e-16,-0.027998786815822862,0.04467354343655886,0.0,0.0,0.0,0.08
17,-2.7803426535897926,-0.0,-0.0,4.677278749158576,1.7672191439291225,-4.440892098500626e-16,-0.04956468862812727,0.060554757499626286,0.0,0.0,0.0,0.085
18,-2.7365926535897933,-0.0,-0.0,4.595511985828874,1.9700938018539025,1.1102230246251565e-16,-0.04977943414586392,0.04883209232033453,0.0,0.0,0.0,0.09
19,-2.6903426535897945,-0.0,-0.0,4.499513460512105,2.1804537643963893,7.771561172376096e-16,-0.043893334951710834,0.03986886600459008,0.0,0.0,0.0,0.095
20,-2.6415926535897927,-0.0,-0.0,4.387912809451864,2.3971276930210146,-3.3306690738754696e-16,-0.06019854771767065,0.05773123204114052,0.0,0.0,0.0,0.1
21,-2.590342653589793,-0.0,-0.0,4.2593524857939595,2.618762379781873,1.1102230246251565e-16,-0.06362121568671861,0.04902528392784332,0.0,0.0,0.0,0.10500000000000001
22,-2.536592653589793,-0.0,-0.0,4.1125104881619,2.843810381294501,-7.771561172376096e-16,-0.055911347554351405,0.05395866226183246,0.0,0.0,0.0,0.11000000000000001
23,-2.4803426535897932,-0.0,-0.0,3.94612609225315,3.0705193150408427,-4.440892098500626e-16,-0.06645320624109699,0.07321801811769416,0.0,0.0,0.0,0.11500000000000002
24,-2.421592653589793,-0.0,-0.0,3.7590286457044755,3.2969233598573653,-4.440892098500626e-16,-0.08422307215945819,0.06457012652952411,0.0,0.0,0.0,0.12000000000000002
25,-2.360342653589793,-0.0,-0.0,3.550169417830398,3.520837557272669,-2.220446049250313e-16,-0.08960081642425477,0.04648416813173372,0.0,0.0,0.0,0.125
26,-2.2965926535897925,-0.0,-0.0,3.3186564124344575,3.7398555608749984,-2.220446049250313e-16,-0.08160847296461446,0.045561462691764046,0.0,0.0,0.0,0.13
27,-2.2303426535897932,-0.0,-0.0,3.0637919529119726,3.951351524386542,2.220446049250313e-16,-0.07992043778733286,0.04347259022747343,0.0,0.0,0.0,0.135
28,-2.1615926535897927,-0.0,-0.0,2.785112733831086,4.152486852459853,-4.440892098500626e-16,-0.08247686106329247,0.04075465825388692,0.0,0.0,0.0,0.14
29,-2.0903426535897935,-0.0,-0.0,2.482431902073841,4.340222557838025,6.661338147750939e-16,-0.11385027120450665,0.04044944681029146,0.0,0.0,0.0,0.14500000000000002
30,-2.016592653589793,-0.0,-0.0,2.155882583993331,4.511337970495476,4.440892098500626e-16,-0.13201726192520488,0.062462023352503976,0.0,0.0,0.0,0.15
31,-1.9403426535897932,-0.0,-0.0,1.8059621141532682,4.6624565244346305,-4.440892098500626e-16,-0.13711847378161043,0.04199511653113987,0.0,0.0,0.0,0.155
32,-1.8615926535897929,-0.0,-0.0,1.4335760481597775,4.7900793014461245,4.440892098500626e-16,-0.13014686516691484,0.06054027576873734,0.0,0.0,0.0,0.16
33,-1.780342653589793,-0.0,-0.0,1.0400808599450198,4.8906269337147386,8.881784197001252e-16,-0.11764519361769507,0.06665265539340348,0.0,0.0,0.0,0.165
34,-1.6965926535897926,-0.0,-0.0,0.6273240367979033,4.960490354073434,0.0,-0.13820004426677016,0.03732828217589127,0.0,0.0,0.0,0.17
35,-1.6103426535897931,-0.0,-0.0,0.19768009885982896,4.99609072961198,0.0,-0.16414455656432148,0.05326717809786857,0.0,0.0,0.0,0.175
36,-1.5215926535897932,0.0,-0.0,-0.24591910957085167,4.9939487173526205,4.440892098500626e-16,-0.1497182768269402,0.04500840939903912,0.0,0.0,0.0,0.18
37,-1.430342653589793,0.0,-0.0,-0.6999616736661733,4.9507629366996,-1.7763568394002505e-15,-0.16592207586755472,0.04975699954354008,0.0,0.0,0.0,0.185
38,-1.3365926535897934,0.0,-0.0,-1.1603423626937215,4.863497260340377,0.0,-0.16746014453766164,0.051016983031436286,0.0,0.0,0.0,0.19
39,-1.240342653589793,0.0,-0.0,-1.622360945475655,4.729476182686127,0.0,-0.19774806615615065,0.049811416240366856,0.0,0.0,0.0,0.195
40,-1.1415926535897931,0.0,-0.0,-2.080734182735712,4.546487134128409,-4.440892098500626e-16,-0.20840071055122422,0.04103389035584097,0.0,0.0,0.0,0.2
